Page,Comment text,Last edited at
1,Quais são as implicações sociais e legais do Cross-Race Effect na identificação de suspeitos?,2025-10-20 10:26:14
2,Terá o desenvolvimento tecnologico contribuido para uma maior distinção entre pessoas de diferentes etnias já que temos uma maior exposição ao restante mundo?,2025-10-21 18:47:16
3,"Como é que o conhecimento do CRE previamente pode diminuir o seu efeito, mesmo sem aumentar a experiência perceptiva?",2025-10-20 10:42:33
4,Como é que foco na diferenciação de faces pode melhorar o reconhecimento de faces de outras etnias?,2025-10-21 18:47:39
5,Será que este estudo permite controlar o impacto do racismo ou preconceito no reconhecimento facial?,2025-10-20 10:46:37
5,"Quando há mais contacto entre grupos raciais, a perceção torna-se mais individualizada — deixamos de ver “rostos de uma raça” e passamos a reconhecer características únicas de cada pessoa. Ao mesmo tempo, a motivação para observar com atenção e interesse também aumenta, o que melhora o reconhecimento. Assim, eu acho que o efeito não desaparece por uma única razão, mas pela combinação entre maior perceção individual e maior atenção.",2025-10-28 11:38:20
6,"Será que duas pessoas da mesma idade, etnias e que tenham uma exposição identica a outras etnias podem responder de forma diferente ao CRE?",2025-10-21 18:48:12
7,Quais estratégias sociais podem ser mais eficazes para reduzir o CRE em contextos do mundo real?,2025-10-20 10:52:38
