Page,Comment text,Last edited at
2,"﻿@Margarida Porto﻿ As formas de ensino têm se mantido estanques há vários anos e talvez seja por isso que não há uma nova implementação destes métodos de estudo. O papel do professor deveria ser um papel ativo, no sentido em que este deveria divulgar, explicar e incentivar os alunos a que utilizassem estas técnicas eficazes porém, os próprios professores não têm conhecimento destas técnicas pois no processo da sua formação não lhes são apresentados os estudos e as soluções para combate de técnicas de estudo pouco eficazes. Resumindo: neste momento, o papel do professor é um papel passivo (de pouco envolvimento) em relação às melhores técnicas de estudo quando este deveria ser o primeiro a fazer a divulgação das formas de estudar eficientemente.",2025-09-24 17:33:58
2,"﻿@Eugénia Lopes﻿ A resposta simples é sim. Técnicas de estudo são nos ensinadas desde os 6 anos (idade com que começamos a frequentar 1 º ano) e nunca existe, por parte dos professores ou da escola, a divulgação de novas técnicas de estudo e incentivo à utilização de novas e mais eficientes maneiras de estudar. Pela minha experiência, existe mesmo um incentivo à utilização de técnicas que se mostram pouco eficazes (como o sublinhado).",2025-09-24 17:38:35
5,"Logo, se fizer uma sessão de estudo longa teria de realizar várias vezes essa mesma longa sesão para consegiur reter de forma eficiente o que estava a querer aprender",2025-09-17 16:26:39
6,"Será que um maior aproveitamento em sessões de estudo espaçadas é mais eficiente pois como estas são mais curtas, existe um menor desgaster mental?",2025-09-17 16:41:10
9,"Se a técnica de estudo espaçado funciona tão bem e apresenta ótimos resultados nas pesquisas feitas, porque é que não é mais divulgada e não existe uma implementação desta forma de estudar desde o ínicio da escolaridade?",2025-09-17 16:56:39
