Page,Comment text,Last edited at
2,"Existe o risco de que, ao dar tanta importância na denuncia à polícia possa, involuntariamente, desencorajar as mulheres a procurar ajuda por outros meios?",2025-10-14 18:29:03
4,"Dado que as vítimas tendem a normalizar a violência doméstica menos grave, as intervenções devem priorizar a educação precoce sobre o reconhecimento de todas as formas de violência ou devem concentrar-se em casos graves, nos quais é mais provável que a vítima procure ajuda?",2025-10-14 18:24:02
4,"Pode a ênfase na perceção da possibilidade de denúncia levar as mulheres a ignorar ou normalizar certos tipos de abuso, acreditando que não são ""graves o suficiente"" para serem denunciados? Ou seja, nos relacionamentos abusivos não denunciarem insultos ou gritos pois são apenas de ""categoria 1"" e não são muito graves?",2025-10-14 16:18:50
4,"Sim, a perceção do que é “denunciável” pode variar de pessoa para pessoa, dependendo da sua educação, do seu conhecimento e do enquadramento legal em que se insere. A educação influencia os valores morais e éticos de cada indivíduo, determinando o que considera certo ou errado. O nível de conhecimento também é fundamental, pois muitas vezes as pessoas não denunciam determinadas situações por desconhecimento das leis ou por não saberem que certos comportamentos são ilegais. Além disso, o enquadramento legal e cultural de cada sociedade define o que é considerado crime ou irregularidade, o que faz com que algo visto como grave num país possa ser encarado como normal noutro.",2025-10-25 16:20:19
6,"Dado que o estudo se baseia numa amostra chilena, até que ponto as suas conclusões podem ser generalizadas para outros contextos culturais, especialmente em países com diferentes quadros jurídicos e atitudes sociais em relação à violência doméstica?",2025-10-14 16:11:54
8,A associação entre relações estáveis e duradouras e o aumento das denúncias à polícia indica que as mulheres só procuram ajuda formal após exposição prolongada? Porquê?,2025-10-14 16:33:09
8,"As limitações metodológicas do estudo, tais como o uso de respostas categóricas e questionários simplificados, são significativas o suficiente para comprometer a validade das conclusões sobre a notificação de violência doméstica e a procura de ajuda? ",2025-10-14 16:10:51
