Page,Comment text,Last edited at
2,"Qual é a importância de destinguir o ""flow"" como discreto ou contínuo?",2025-09-27 18:11:57
3,"A inconsistência na definição de ""flow"" em relação ao facto de esta ser continua ou discreta, não torna todos os estudos em relação ao conceito questionáveis, já que o conceito muda entre diversos investigadores? Se o conceito muda de investigador para investigador, como é que estes estudos são objetivos, e quais são mais próximos da verdade?",2025-09-27 18:17:34
8,"Se aida não existe um acordo para o que é o ""flow"", porque é que existem tantas pesquisas num conceito sobre qual não se sabe bem o que é? Não será prioritário estabelecer uma definição de ""flow""?",2025-09-27 18:19:55
